,state,agi_stub,returns,agi,wages,dividends,capital_gains,business_total,year,agi_stub_cat
0,US,0,145025450,9085078279,6303276607,256489955,604338742,535203164309555008,2012.0,No AGI Stub
1,US,1,2248050,-200411687,19998700,4450089,12426232,-40096211-8670567,2012.0,Under $1
2,US,2,22638580,119219659,92959155,2931189,-411376,-48184415588114,2012.0,"$1 under $10,000"
3,US,3,34059840,582485261,438883955,7980132,1116496,141825345904783,2012.0,"$10,000 under $25,000"
4,US,4,33965310,1226186333,991539925,12201578,3666566,643120536763616,2012.0,"$25,000 under $50,000"
5,US,5,19113420,1175834134,911470386,13702117,5998761,988641028641597,2012.0,"$50,000 under $75,000"
6,US,6,12138470,1050206935,802552766,13341650,7757683,1221592524975239,2012.0,"$75,000 under $100,000"
7,US,7,15587490,2091248402,1593612822,34201531,30138620,5139153061930314,2012.0,"$100,000 under $200,000"
8,US,8,4181040,1190975341,809690305,34954893,55033614,10809454958501620,2012.0,"$200,000 under $500,000"
9,US,9,700970,474618768,257953277,20840364,48111097,9202975320879603,2012.0,"$500,000 under $1,000,000"
10,US,10,392270,1374715133,384615315,111886411,440501049,29431359425040689,2012.0,"$1,000,000 or more"
11,AL,0,2050890,104270067,75331835,1763154,3822141,61115082992588,2012.0,No AGI Stub
12,AL,1,25810,-1894893,180230,43098,109455,-400523-141131,2012.0,Under $1
13,AL,2,315080,1778806,1355262,27706,-2088,-9100235027,2012.0,"$1 under $10,000"
14,AL,3,575210,9742551,7663737,70789,13604,8913639998,2012.0,"$10,000 under $25,000"
15,AL,4,491320,17622052,14487600,106318,37947,57399279202,2012.0,"$25,000 under $50,000"
16,AL,5,254210,15629937,12154729,127691,64032,100517260501,2012.0,"$50,000 under $75,000"
17,AL,6,159820,13821966,10635703,129471,87971,134717233812,2012.0,"$75,000 under $100,000"
18,AL,7,182240,24071292,18272993,313107,311052,580532583772,2012.0,"$100,000 under $200,000"
19,AL,8,37950,10701664,6665383,298740,492227,1314346583771,2012.0,"$200,000 under $500,000"
20,AL,9,6280,4271645,2040282,187287,396527,1131258198085,2012.0,"$500,000 under $1,000,000"
21,AL,10,2970,8525047,1875916,458946,2311413,3193448119549,2012.0,"$1,000,000 or more"
22,AK,0,363090,22800444,16194484,447686,785466,1398025940480,2012.0,No AGI Stub
23,AK,1,3650,-196341,31338,2439,3395,-37134-34729,2012.0,Under $1
24,AK,2,59510,279193,197321,9995,107,-234315441,2012.0,"$1 under $10,000"
25,AK,3,69490,1204500,918584,41443,6828,103863168,2012.0,"$10,000 under $25,000"
26,AK,4,80900,2952750,2404953,47375,12177,11502106313,2012.0,"$25,000 under $50,000"
27,AK,5,51170,3154797,2486544,37375,17991,20442100317,2012.0,"$50,000 under $75,000"
